case_id,material,total_length_mm,n_nodes,n_elements,static_max_deflection_mm,static_max_deflection_um,static_max_vonmises_MPa,static_max_shear_MPa,static_factor_of_safety,modal_num_modes,modal_min_frequency_Hz,modal_max_frequency_Hz,freq_mode1_Hz,freq_mode2_Hz,freq_mode3_Hz,freq_mode4_Hz,freq_mode5_Hz,freq_mode6_Hz,var_E,var_Ff,var_Fr,var_Ft,var_L1,var_L2,var_L3,var_L4,var_R1,var_R2,var_R3,var_R4,var_front_z_fraction,var_pos_tol_front,var_pos_tol_rear,var_rear_z_fraction,var_rho,var_ri,var_sigma_y,mode
1,AISI_4140,523.8913688229873,32242,18876,0.013203,13.2,12.49,13.5,58.51,6,510.84,2144.9,510.84,902.1,956.87,1264.19,1519.94,2144.9,209734.10208042414,494.5010879285383,769.2430241218351,1108.4443663937548,60.14882212705505,414.0267369101514,36.19703741117614,13.51877237460466,40.548754546929786,44.29209629891469,91.8038154535391,48.62929400446056,0.182068404639758,0.010950068761419634,0.011693918159703411,0.8152147184996891,7.751323062346555e-09,29.220539560049183,730.6176911842813,ansys_mapdl
2,AISI_4140,557.2599796403103,29433,17481,0.059957,59.96,39.81,45.82,16.33,6,490.04,1832.75,490.04,723.55,781.84,1023.94,1054.24,1832.75,200767.30576187963,672.9585808075622,849.5279355808761,3429.044284034185,72.01811092997666,436.74538231859515,29.636502692856556,18.85998369888189,41.366222271544046,41.577101521098925,90.94736096007294,52.08042253955244,0.23381767905222064,0.027101591455837418,0.01408374934622885,0.7621471551058024,7.925372575776808e-09,25.32333603544452,650.1657733626562,ansys_mapdl
3,AISI_4140,499.91547022899294,21993,12256,0.102984,102.98,85.44,98.11,7.5,6,316.15,1910.5,316.15,421.08,558.44,1200.06,1388.57,1910.5,209139.369563051,808.265326784113,1165.9573945076268,3268.179582894611,68.85236003309704,383.86893913216323,34.533488389199896,12.660682674532806,36.7785682397368,37.222015285985776,78.97919291306906,52.78743558359817,0.1475161846628992,0.017426913377903648,0.016471089030395784,0.6647917137248655,7.779769007728241e-09,30.503817914339983,641.0513575445278,ansys_mapdl
4,AISI_4140,517.6835858241816,28681,16875,0.028992,28.99,27.98,30.79,25.38,6,643.64,2520.15,643.64,1085.84,1105.57,1395.73,1685.53,2520.15,210131.92719528475,981.7632480299575,477.3362988711209,2516.5798519104765,71.4228614012703,404.4513571677163,31.66419359557207,10.145173659622866,36.259890280466514,45.57821252420112,70.25059152073426,41.38767286617282,0.22223900648031453,0.012519225185229483,0.03104925429152325,0.7276614446634634,7.873759092202718e-09,25.80902032162884,709.974219184363,ansys_mapdl
5,AISI_4140,524.4654706858036,41731,25946,0.016634,16.63,28.99,31.35,21.29,6,537.59,2611.29,537.59,1053.3,1133.19,1328.09,1807.87,2611.29,212329.50744393008,543.1354217033752,1089.2282384720315,2567.4034487210015,84.85655211002482,399.18722627711986,26.59298980766698,13.82870249099182,48.96237121476424,53.869825728292376,84.6814630580044,51.31345772190984,0.1178184146475204,0.006749477612448318,0.013256368398398631,0.691476671038541,7.720285285481437e-09,26.59502810172275,617.155848323934,ansys_mapdl
6,AISI_4140,551.0355917150588,21943,11820,0.01935,19.35,18.67,20.67,33.51,6,610.93,2241.02,610.93,944.6,984.8,1267.16,1418.15,2241.02,208098.6499625181,434.21099823114577,433.9374626903807,1426.031521793773,67.92970553437458,448.3330828924229,20.150146433094626,14.622656855166708,43.24500864838793,40.6106245480171,73.40162890962469,43.588183177885966,0.13850406602989812,0.02431453885806878,0.020222334466211942,0.7561768948406655,7.700891992103586e-09,27.796193170436503,625.4573313894288,ansys_mapdl
7,AISI_4140,485.6715024670539,26057,14805,0.025568,25.57,37.72,40.07,19.8,6,668.17,2559.62,668.17,1391.91,1531.21,1849.86,1898.29,2559.62,210792.55306046043,684.6705402290626,1006.6312283438092,2927.277128485067,78.94074417613494,371.97063431287984,18.239884966477003,16.520239011562143,39.361208844517805,43.77480703105222,79.15875224801252,40.20817172776536,0.10201041636300165,0.007074434186588896,0.02822141798992591,0.8471590191946561,7.895921128067556e-09,26.61497597632464,746.6576877864491,ansys_mapdl
8,AISI_4140,564.3561015859896,23936,13430,0.067048,67.05,45.85,51.74,14.5,6,432.58,1723.98,432.58,859.87,867.38,884.17,1046.66,1723.98,213383.64749145092,251.0810943043795,1193.795531283955,2767.1068357479735,79.51061793783427,433.98148043635774,32.70795101554363,18.156052196253967,47.11964759595173,42.367730094424346,81.24635364920898,49.38362121588571,0.2186020445410563,0.022428051248724375,0.009763034257265147,0.8308840145816875,7.956874437908363e-09,32.026452209244795,664.5728852213222,ansys_mapdl
9,AISI_4140,533.3155066084852,44878,27930,0.019173,19.17,28.36,30.95,22.13,6,494.08,2483.88,494.08,895.73,901.79,1281.74,1761.65,2483.88,203109.63792051445,337.52232056917546,744.418259793905,2847.9460453347574,80.39674209952278,402.6811547306162,37.403479254565546,12.834130523780662,43.90000658482589,54.7661798716867,92.36473252954491,36.85432319289118,0.14033544259182554,0.022581308818827465,0.026552126281031298,0.6801033250820695,7.902934960505379e-09,27.209420120986053,627.4256240861255,ansys_mapdl
10,AISI_4140,566.8585293491999,48443,30588,0.011595,11.59,16.19,17.65,39.39,6,470.27,2334.72,470.27,1193.79,1295.27,1631.9,1891.18,2334.72,209445.4828612305,834.5073206019375,349.5349543188249,2023.812352564118,82.40141187580357,428.53075781612966,33.00381221797208,22.922547439294583,44.66351851751402,59.05460375456074,84.21752469426377,46.79245665584542,0.10540027539257468,0.023113993783944502,0.027709185685067885,0.8273883114937439,7.81530796897557e-09,25.774015698932907,637.6243557546044,ansys_mapdl
11,AISI_4140,481.2755662922762,26793,15249,0.1489,148.9,76.81,88.62,9.38,6,187.66,1263.64,187.66,382.28,537.13,978.77,1255.8,1263.64,202239.1398760666,452.144470799909,950.9192223885408,1824.5916322093562,81.88978830789034,358.990417034193,24.357729562444085,16.03763138774876,37.4258474521734,38.03621872449675,94.61129758087941,45.41126942957561,0.1264444619651393,0.026452452125885033,0.030224111967516756,0.7190255985395694,7.764231356302553e-09,33.567451302779006,720.8109428739679,ansys_mapdl
12,AISI_4140,504.8133594838563,25504,14384,0.185715,185.71,93.34,107.55,7.36,6,239.56,1447.68,239.56,467.85,621.74,740.87,895.24,1447.68,208480.27594910187,557.4093357643696,1462.5242545340548,3086.0943321564255,89.51752528429064,363.64146338368454,37.63050799804223,14.023862817838905,44.50596115324774,40.44769245159761,86.34802495096869,48.07962052328762,0.2455342478639454,0.011088619193364586,0.03446179890623392,0.7616798028654153,7.82455176763024e-09,34.49745358713998,687.2062912929297,ansys_mapdl
13,AISI_4140,512.6153728243585,39726,24598,0.024043,24.04,27.84,30.12,25.4,6,501.34,2848.16,501.34,1016.35,1032.76,1414.62,2019.78,2848.16,207754.79810785604,966.305641539988,1283.970406499714,3451.4650987802547,78.5730536283646,381.1232274828316,29.06039998784613,23.85869172531611,40.73016100920839,57.10761827537391,93.34100445152397,46.020255399142485,0.17923522600009234,0.028421194175687496,0.03379320269825367,0.6689902548378017,7.8643639050758e-09,28.247039289478554,707.1272464855797,ansys_mapdl
14,AISI_4140,549.2783445334995,39195,23723,0.010602,10.6,10.49,11.22,67.16,6,495.77,2426.63,495.77,1240.93,1252.14,1466.27,1898.58,2426.63,212811.92187267,347.87059615863404,1448.6318496704662,1734.0433755700167,74.15523482932123,441.0922062358474,15.974019066767449,18.05688440156334,52.8037172022582,58.98197008286132,91.31460098788371,52.302095137636876,0.1140566479247674,0.01630152996612608,0.021335762239645086,0.7502554901464971,7.801238540146888e-09,30.669513388695794,704.5034048317941,ansys_mapdl
15,AISI_4140,499.971747290556,30617,17612,0.097015,97.02,61.08,69.86,10.97,6,228.23,1354.53,228.23,506.45,620.85,699.23,830.31,1354.53,212214.58397529862,709.542185676927,449.2727641461746,1966.3879953480096,64.8887906898713,391.7244129281444,28.958635000038782,14.399908672501528,53.031577121081924,39.803184771583986,94.06964046583705,36.398189505191105,0.196715702310448,0.005157128327272028,0.022847442181051756,0.7785922673688208,7.914592789097352e-09,34.15012248483356,670.2863020447717,ansys_mapdl
16,AISI_4140,583.2149015507066,28503,16293,0.024231,24.23,15.81,18.23,45.82,6,541.33,2050.61,541.33,1112.85,1143.69,1373.23,1418.09,2050.61,202908.58861887176,747.9439269919959,1057.508353947064,1794.0997048939744,84.53899685825778,446.0308438371368,34.21256403518848,18.432496820123525,45.12276182922812,50.152600935590755,75.5486734280362,39.823762236121794,0.21619907301072433,0.005610261229614335,0.02968915707262105,0.8255365731026589,7.727963133474747e-09,31.53222887287808,724.2623412931744,ansys_mapdl
17,AISI_4140,557.2624000847967,28608,17059,0.011121,11.12,17.35,18.61,41.96,6,517.56,2616.36,517.56,963.79,990.2,1277.54,1787.97,2616.36,205418.95605483986,269.74578184662147,890.7578520935915,1468.699375952947,61.84870608388159,444.1828386185848,26.35592219290877,24.874933189421533,43.572026472543385,52.316244094942434,81.54546759278853,50.069001774234984,0.14986160776081922,0.012392707663590234,0.03212999905627438,0.7127586613043038,7.978112309106793e-09,27.973181078025448,728.0149163849859,ansys_mapdl
18,AISI_4140,467.78297060493,23682,13862,0.023487,23.49,26.88,30.27,22.85,6,582.35,2805.46,582.35,1425.23,1499.18,1549.97,2613.9,2805.46,206410.91522206433,629.1051735643061,1124.3379038265575,2310.4012787429315,64.13364695340233,356.2087302372326,30.761061362988126,16.679532051306914,35.15353371999035,53.22039641962729,76.88435973015658,53.747158865079385,0.16366797061741245,0.025775070350027938,0.03830881070336285,0.7911616868595975,7.988384361063797e-09,30.93880867516987,614.2692097639242,ansys_mapdl
19,AISI_4140,544.1793735775279,37627,22398,0.026914,26.91,19.97,22.04,34.31,6,523.62,2348.34,523.62,1355.63,1505.91,1838.57,2214.41,2348.34,201259.73474717446,659.9045585509184,662.855134753971,2647.767545551286,87.6323837623096,424.8123389039431,16.876080218524322,14.858570692750959,40.152608569113184,59.70214311265714,85.04801335456098,41.75123132866595,0.1675604097983468,0.015978824724209917,0.012655541997906288,0.7970813758800046,7.961047080706548e-09,34.680081311695474,685.3344058730195,ansys_mapdl
20,AISI_4140,488.1602633760258,40672,25544,0.007126,7.13,9.16,10.15,78.58,6,503.73,2639.22,503.73,1162.4,1320.55,1421.01,1979.53,2639.22,213715.8165691599,742.1263429455983,1115.4527070952872,1153.7649166390056,70.35438445996495,366.5691857407684,33.63164715575889,17.605046019533553,50.3277141892802,57.61873392646467,86.80249637997971,38.903006858788665,0.19021661370948317,0.024548336064017972,0.018785418641572994,0.7365053690845051,7.944863171845494e-09,25.12667832301348,719.6345024861145,ansys_mapdl
21,AISI_4140,563.5776119298209,37596,22993,0.020386,20.39,16.21,18.26,41.7,6,503.39,2361.0,503.39,833.73,882.1,1324.24,1614.73,2361.0,210282.44500374474,409.0217602105846,975.3936499221268,1911.3823506162717,87.3741843159115,417.1824337811426,38.14111988199818,20.879873950768626,38.26524136813563,52.50909702622873,80.18982114517098,39.57102779438646,0.2385117141553518,0.018496318865124494,0.01532573386234265,0.6528542150924718,7.742846102836653e-09,26.923795754780702,675.883780903548,ansys_mapdl
