case_id,material,total_length_mm,n_nodes,n_elements,static_max_deflection_mm,static_max_deflection_um,static_max_vonmises_MPa,static_max_shear_MPa,static_factor_of_safety,modal_num_modes,modal_min_frequency_Hz,modal_max_frequency_Hz,freq_mode1_Hz,freq_mode2_Hz,freq_mode3_Hz,freq_mode4_Hz,freq_mode5_Hz,freq_mode6_Hz,var_E,var_Ff,var_Fr,var_Ft,var_L1,var_L2,var_L3,var_L4,var_R1,var_R2,var_R3,var_R4,var_front_z_fraction,var_housing_it_grade,var_pos_tol_front,var_pos_tol_rear,var_rear_z_fraction,var_rho,var_ri,var_sigma_y,mode
1,AISI_4140,474.263935445656,29409.0,17748.0,0.018072,18.07,28.88,32.15,23.42,6.0,565.69,2634.61,565.69,1307.09,1372.84,1645.19,1955.99,2634.61,205996.25903661764,928.1486880903276,903.3936499221268,2870.3158997766823,86.30081320597962,351.1035087734913,15.619430149004824,21.24018331718028,52.13485139977818,53.27480703105222,88.11873392646467,44.22929400446056,0.116068404639758,7.505963630848079,0.0182782929005863,0.0125561369267725,0.7397816608519366,7.901106179378343e-09,25.434473765601485,676.4489415394517,ansys_mapdl
2,AISI_4140,544.1455847065972,24795.0,13821.0,0.065179,65.18,46.32,51.66,15.44,6.0,422.27,1950.82,422.27,523.62,678.86,1139.4,1258.86,1950.82,204878.4258840628,834.3275845099221,1134.4748642185227,3202.218837147652,79.19163822737508,402.6004481108218,38.266639498136485,24.086858870263832,39.78767286617283,40.868769742038566,77.1276189220461,50.25300374729907,0.2070225239255855,5.414053211505207,0.026265222094362,0.034118738330186,0.6654803139786581,7.839187844718359e-09,29.669312158198103,714.9905580159525,ansys_mapdl
3,AISI_4140,488.84887153029786,36657.0,22933.0,0.014773,14.77,20.11,22.41,32.99,6.0,553.02,2458.15,553.02,1312.95,1321.23,1885.87,2087.83,2458.15,204368.8544243383,746.6771488630746,710.3201310728628,2229.601928481972,68.06708851836511,370.0267369101514,27.806260810484915,22.94878529129648,52.65016994405777,57.15847552337877,73.8918221523873,38.45149894516469,0.1966392268674935,5.260108948604478,0.0296474173106868,0.0207300593336866,0.7841643368978466,7.773339392355847e-09,26.64410449184573,663.4335253746283,ansys_mapdl
4,AISI_4140,525.3167354518077,27946.0,15973.0,0.029647,29.65,25.82,29.63,24.47,6.0,516.44,2137.64,516.44,1212.01,1226.09,1311.48,1787.51,2137.64,213599.4791114629,725.5927358150805,798.4166221928056,2693.089731418073,89.61916900799964,382.4097703220338,35.80745525194982,17.480340869824484,43.85044460083848,49.023550302465125,83.39270766359023,48.7178374538064,0.1088890878183964,6.357772417637908,0.0254697357745867,0.036065418641573,0.8406770570317805,7.986187570587298e-09,34.088593569531746,631.9782276132254,ansys_mapdl
5,AISI_4140,526.8477149321344,23630.0,12989.0,0.042798,42.8,32.09,34.94,21.32,6.0,487.09,2133.75,487.09,724.47,827.3,1286.06,1534.75,2133.75,203678.17055945704,266.4563434229127,467.5759492560021,3134.2035474084605,62.38637275611968,412.1920534182439,33.30249637997972,18.96679237779112,46.32700179841001,42.98519635543569,72.33077175835133,36.37005122815079,0.1286615311732779,6.146177996066203,0.0159541394970879,0.0133566191404039,0.6985866213154238,7.927474100484104e-09,31.92333603544452,684.1143070063515,ansys_mapdl
6,AISI_4140,553.7535646932143,31727.0,18885.0,0.027526,27.53,37.16,39.27,17.99,6.0,500.32,1947.29,500.32,834.2,888.96,1028.49,1205.99,1947.29,210803.41883044413,987.817078989056,750.3181230934945,2338.273242477935,83.65726040895433,418.1503831413759,38.775319248928106,13.170601893956064,54.70703459880249,46.85261302521273,70.2721118550832,39.63235427227348,0.174082130127548,7.664531371033341,0.0116583708211705,0.0254425508606441,0.6962596117599879,7.978477256356778e-09,27.421664546749017,668.6564097793921,ansys_mapdl
7,AISI_4140,473.7286608422807,20802.0,11648.0,0.037631,37.63,27.75,32.03,25.99,6.0,400.29,1928.8,400.29,765.58,891.47,1174.3,1372.29,1928.8,206124.77060932617,525.6024543751229,469.2954131146057,1627.336004174992,61.33042553722227,358.566219621682,33.9753729400362,19.85664274334019,41.75863881291098,40.074733160404605,79.15286878217856,44.187978168495526,0.2033051481655827,7.845246825863486,0.0284799243502264,0.0303854055225409,0.7881399434720429,7.967921042832122e-09,31.07564159402785,721.1050068026339,ansys_mapdl
8,AISI_4140,474.0374424487649,21058.0,11387.0,0.076898,76.9,46.0,52.09,13.26,6.0,320.93,1741.0,320.93,591.94,729.95,847.41,1113.16,1741.0,202067.6777162132,889.3049296717511,856.4635107680151,1737.5306212083892,71.44870608388159,367.61072258429607,18.834215501328725,16.14379827925854,48.746409955327564,39.73023628236916,74.33026112289555,48.24153569126409,0.1925792527330041,7.525245035351484,0.0154708486291554,0.0370097663404545,0.6885527495577864,7.888043464191849e-09,33.45460107714263,609.7541759416291,ansys_mapdl
9,AISI_4140,498.5107851639377,32367.0,19522.0,0.030335,30.33,35.3,39.45,17.05,6.0,606.1,2504.37,606.1,1110.47,1166.26,1356.16,1674.59,2504.37,201525.0955941385,377.3438104777983,1043.8696839809113,3198.129372191191,64.63005184004993,395.2581554322752,24.87696669424753,13.745611197365095,39.25335664602696,48.43011579452302,91.72344809879436,47.54082060711952,0.2168332962492793,6.480479436169,0.0203816688185012,0.0083596866541309,0.7669659218806592,7.999617096463375e-09,27.340624705085744,601.7645673102433,ansys_mapdl
10,AISI_4140,536.7456972698615,33755.0,20452.0,0.028031,28.03,32.58,35.65,18.92,6.0,501.59,2431.31,501.59,1083.41,1201.35,1426.32,1996.03,2431.31,214432.76225273643,686.4869182577462,636.7032474145224,3363.9652026640824,76.57418431591151,423.4934890511996,21.813171135563145,14.864852767187283,40.55126699814859,59.19184551503624,71.53159342473312,49.23658854251015,0.2419156056135445,5.910133239672506,0.0164963427718534,0.0209931585756096,0.6731719178339007,7.877372575776808e-09,28.76284677302578,616.3413052378066,ansys_mapdl
11,AISI_4140,531.887385588391,36908.0,22354.0,0.012445,12.44,17.41,18.76,42.96,6.0,503.37,2676.34,503.37,1264.48,1339.2,1466.68,1961.41,2676.34,208909.7153924657,245.84716466538964,695.9822115311438,1429.3216034345014,69.91590635936583,425.5406879400023,16.43408889110674,19.996702397916145,37.92908504025424,52.74195609937144,77.91470351573156,51.30361176999773,0.1717286778190476,5.037949291393092,0.0186422964351921,0.0159685475944962,0.756887546572514,7.939257477178099e-09,26.814487489798697,748.0725501720134,ansys_mapdl
12,AISI_4140,538.5337092466425,26784.0,14863.0,0.027289,27.29,28.58,31.87,25.16,6.0,498.69,2358.57,498.69,838.95,930.83,1407.73,1820.7,2358.57,209856.1480267422,592.1826552743755,596.091258893674,2473.461520470048,84.5434935912674,410.4359896585236,19.020785409549514,24.53344058730196,42.92335879613492,48.51922518522949,92.6946149333823,40.11905465408191,0.1091013042635704,6.224237446805938,0.0106596427366002,0.0097739181597034,0.6662338445730476,7.820417692294464e-09,33.99028614203061,718.9038646104026,ansys_mapdl
13,AISI_4140,462.3889466823989,36983.0,22814.0,0.01127,11.27,18.04,18.65,40.64,6.0,547.29,3301.35,547.29,1212.94,1280.94,1541.06,2482.12,3301.35,212944.66067007143,875.2509265867974,809.2727641461746,1956.28428173546,65.61051056991944,360.0487552967265,24.15345228653515,12.576228529217897,38.85032638263713,55.28705895681324,87.17403448721001,45.89115664035825,0.1326431400677793,6.765654169157969,0.0236062050818853,0.0320292365044212,0.6801304735937789,7.816197381361585e-09,25.98668822860897,733.2166990087306,ansys_mapdl
14,AISI_4140,544.0413207284215,25303.0,14789.0,0.009201,9.2,10.43,11.75,61.4,6.0,652.33,2443.25,652.33,1183.62,1199.8,1403.12,1540.81,2443.25,204158.7776209887,362.8053729526986,305.2489431496436,1071.5033090679235,81.64741771650753,429.5094820539536,21.066599280869035,11.817821677091343,44.55380397453386,47.48942599183178,71.47230229541788,47.121471849968906,0.1399851615734324,7.251208195966936,0.0144946361775121,0.0351810930846175,0.7497127114379885,7.810972814058842e-09,25.3964326432046,640.1180734778927,ansys_mapdl
15,AISI_4140,561.2951059499792,34145.0,21078.0,0.017875,17.88,16.31,18.22,44.77,6.0,616.94,2297.1,616.94,1180.85,1251.69,1566.57,1657.05,2297.1,207786.9574813961,649.7048537648343,1353.973336292643,2071.4135973811963,69.29509958651228,446.8770212111712,34.33506939383361,10.787915758462129,43.34875454692978,52.37316774671909,72.58327072310573,41.93835903620706,0.2230905546498832,7.049033880014614,0.0268329349797492,0.0251258700428536,0.8300817172776536,7.892729805597136e-09,25.71358139204498,730.2012196754322,ansys_mapdl
16,AISI_4140,510.4726957414674,29264.0,16900.0,0.046907,46.91,35.32,38.86,20.08,6.0,648.84,2165.9,648.84,1017.0,1026.97,1323.43,1412.47,2165.9,212366.30109362656,580.7683353969795,1276.925875363134,3266.8189476669822,79.20177920529746,389.8199042784487,20.72039641962729,20.730615838093943,46.95574821297512,44.05081672631923,80.851983568545,35.84634171545327,0.2470623260988781,5.35406452969371,0.0123168037750868,0.0122704028387759,0.7767280356121918,7.947683222264295e-09,27.001326300317764,709.2570318787558,ansys_mapdl
17,AISI_4140,463.3998032912573,34904.0,21330.0,0.007244,7.24,10.13,11.16,64.38,6.0,504.41,2886.01,504.41,1326.31,1394.18,1545.71,2553.84,2886.01,205309.42178256725,672.3054331471988,1372.1193310798874,1202.011273883539,63.69086370673583,354.2415999513845,29.103158924720013,16.364180708416914,45.378199874003485,59.83033892713172,84.13255341884485,38.91903816274972,0.1386317262027655,5.49063430320375,0.0075739922415594,0.0383969334509417,0.7269443064399737,7.953645706230372e-09,30.18310135623529,652.4107630014526,ansys_mapdl
18,AISI_4140,474.9267710228884,27947.0,15958.0,0.051703,51.7,35.75,41.26,19.32,6.0,475.67,2031.38,475.67,716.65,766.85,1003.46,1223.1,2031.38,207872.5736779744,250.90707410073816,1451.139773965964,3005.34394393389,80.61927584102892,352.892841198684,30.905839012594324,10.508814970581216,54.02464549656632,45.19963304056868,82.36982572829237,45.01804064325768,0.2265560846706463,6.923837385797063,0.0207670074235093,0.0292903977616397,0.6511878661372045,7.718752627754975e-09,32.30156935688491,690.5184797264379,ansys_mapdl
19,AISI_4140,504.2374390535614,28111.0,16074.0,0.014836,14.84,16.6,18.64,39.15,6.0,539.13,2336.39,539.13,1071.75,1114.84,1365.63,1794.0,2336.39,211120.62912929297,425.8175538124207,566.6395330291753,1168.120564976077,78.20528202897569,384.2206871566492,29.61283929192908,12.198630576007425,36.95260856911318,43.39614137332423,89.31460098788371,36.77231517982773,0.1229074239466838,5.461133601187744,0.0245782125242011,0.0193399143091059,0.827523523654292,7.885368331520876e-09,29.820775583515275,649.7501711007926,ansys_mapdl
20,AISI_4140,482.5298493145549,21582.0,11682.0,0.178458,178.46,79.38,86.78,8.43,6.0,226.16,1488.26,226.16,380.42,575.66,1161.1,1336.53,1488.26,207267.8131854332,399.4974233439268,334.43433344445145,2026.5620351493023,77.3082737267242,364.39703637828114,20.00989760755066,20.814641601998847,36.39708291936719,39.24683503418969,83.65616747541695,54.15123132866596,0.1522352260000923,5.798834218093673,0.0074938486570556,0.0246112572035889,0.6546984019552148,7.789023539083371e-09,34.824999011553075,669.403630355833,ansys_mapdl
21,AISI_4140,474.23681523297387,18829.0,9646.0,0.027542,27.54,22.65,25.57,27.31,6.0,608.78,2205.4,608.78,1407.12,1516.82,1790.23,2017.02,2205.4,206366.79706174124,848.9779449639672,1319.1343671372567,1694.4705794501945,81.22686133597486,356.3904712850064,18.35804578106798,18.261436830924584,42.46654489666871,46.04869880172808,70.90004589876244,46.339949993776486,0.1800773947827376,6.117138726434211,0.0229233578416877,0.0087317668581808,0.8422554901464969,7.795173238784433e-09,33.76035915455742,618.694057524247,ansys_mapdl
22,AISI_4140,552.4014234613647,36659.0,21952.0,0.024443,24.44,24.98,27.11,29.59,6.0,491.73,2247.04,491.73,1258.16,1329.67,1651.75,1853.22,2247.04,207003.11928820176,483.8489625623275,1089.1895144183973,3074.2888564904792,83.3381983895219,431.2769278427216,22.64111988199818,15.145177347123076,48.39049882051295,58.98919396005984,85.37918054563046,52.6412012804908,0.1812950744393006,6.075313496415179,0.0294365450122407,0.0283508594491398,0.8055003052827774,7.798243925114353e-09,34.650962374334235,739.1099644662708,ansys_mapdl
23,AISI_4140,471.4396171528146,29065.0,17161.0,0.018943,18.94,31.52,34.04,20.22,6.0,597.92,2568.0,597.92,1449.5,1787.51,2317.91,2424.38,2568.0,206651.1714155352,229.51659212094256,1175.5144783908963,3441.651354004615,66.9948438368726,375.9178418133903,16.802946508703442,11.723984993848244,45.96396964185668,56.59951807317916,79.68864562750589,40.83324425256205,0.1038712651446981,6.607282723335167,0.012849243955426,0.0269772598890179,0.8368256249689332,7.865248636145251e-09,31.44318381033172,637.4562508443435,ansys_mapdl
24,AISI_4140,556.1250253854997,24252.0,14154.0,0.070182,70.18,62.06,71.44,9.77,6.0,256.8,1547.67,256.8,337.22,428.58,933.56,1006.16,1547.67,208559.475007626,561.4978102169589,1304.8378840105902,2175.925432983686,72.52438419495202,434.2837493907504,39.11854849048024,10.19834330931712,42.13549128838656,35.59897010650714,86.29798280462961,52.43438956248431,0.1026423474214067,5.969721186880677,0.0190454675927885,0.031484989053593,0.702966311051261,7.918455531235018e-09,29.273074176516342,606.2680853186073,ansys_mapdl
